617,"ニンニク","を","探す",2
618,"を","探す","べく",2
619,"探す","べく","・",2
620,"べく","・","・・エイッ",2
621,"・","・・エイッ","！",2
622,"・・エイッ","！","と",2
623,"！","と","かき混ぜる",2
624,"と","かき混ぜる","！",2
625,"かき混ぜる","！","フワッ",2
626,"！","フワッ","と",2
627,"フワッ","と","鼻腔",2
628,"と","鼻腔","を",2
629,"鼻腔","を","突い",2
630,"を","突い","て",2
631,"突い","て","き",2
632,"き","た","よ",2
633,"た","よ","！",2
634,"よ","！",OK,2
635,"！",OK,"！",2
636,OK,"！","スープ",2
637,"！","スープ","に",2
638,"スープ","に","新た",2
639,"に","新た","な",2
640,"新た","な","味",2
641,"な","味","が",2
642,"味","が","生まれ",2
643,"が","生まれ","て",2
644,"生まれ","て","くる",2
645,"て","くる","。",10
646,"くる","。","心地",2
647,"。","心地","良い",2
648,"心地","良い","ニンニク",2
649,"良い","ニンニク","の",2
650,"ニンニク","の","力",2
651,"の","力","！",2
652,"力","！","熱",2
653,"！","熱","で",2
654,"熱","で","焼け",2
655,"で","焼け","てる",2
656,"焼け","てる","感",2
657,"てる","感","の",2
658,"感","の","ある",2
659,"の","ある","油",2
660,"ある","油","を",2
661,"油","を","より",2
662,"を","より","駆り立て",2
663,"より","駆り立て","て",2
664,"駆り立て","て","豚",2
665,"て","豚","骨",2
666,"豚","骨","醤油",2
667,"骨","醤油","と",2
668,"醤油","と","交わる",2
669,"と","交わる","。",2
670,"交わる","。","まるで",2
671,"。","まるで","ニンニク",2
672,"まるで","ニンニク","強め",2
673,"ニンニク","強め","の",2
674,"強め","の","生姜",2
675,"の","生姜","焼き",2
676,"生姜","焼き","時",2
677,"焼き","時","の",2
678,"時","の","肉",2
679,"の","肉","から",2
680,"肉","から","脂",2
681,"から","脂","から",2
682,"脂","から","出る",2
683,"から","出る","油",2
684,"出る","油","が",2
685,"油","が","ヤバ",2
686,"が","ヤバ","い",2
687,"ヤバ","い","時",2
688,"い","時","と",2
689,"時","と","同じ",2
690,"と","同じ","だ",2
691,"同じ","だ","！",2
692,"だ","！","右手",2
693,"！","右手","に",2
694,"右手","に","。",2
695,"に","。","箸",2
696,"。","箸","を",2
697,"箸","を","持つ",2
698,"を","持つ","手",3
699,"持つ","手","に",2
700,"手","に","元気",2
701,"に","元気","が",2
702,"元気","が","宿る",2
703,"が","宿る","！",2
